"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"551041401434423296","","","2015-01-02 15:44:42 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Blake Farenthold Wikipedia article edited by Mechanic1c http://t.co/qdxwXoRSpE","","","","http://en.wikipedia.org/w/index.php?diff=640665286&oldid=638523539"
"551030118370795521","","","2015-01-02 14:59:52 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Gaijin42 http://t.co/E2NFhKcOHk","","","","http://en.wikipedia.org/w/index.php?diff=640660622&oldid=640660456"
"551029398066196480","","","2015-01-02 14:57:00 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by MrX http://t.co/50TiHIpg7y","","","","http://en.wikipedia.org/w/index.php?diff=640660372&oldid=640660256"
"551027521844953088","","","2015-01-02 14:49:33 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Gaijin42 http://t.co/reEoMGPxtK","","","","http://en.wikipedia.org/w/index.php?diff=640659646&oldid=640658639"
"551024847380553728","","","2015-01-02 14:38:55 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by MrX http://t.co/RggyMe0RZg","","","","http://en.wikipedia.org/w/index.php?diff=640658639&oldid=640651319"
"551017873041547264","","","2015-01-02 14:11:13 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Kristi Noem Wikipedia article edited by MaverickLittle http://t.co/IngHtzc2XG","","","","http://en.wikipedia.org/w/index.php?diff=640655729&oldid=640651185"
"551006888427794432","","","2015-01-02 13:27:34 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Collect http://t.co/TKmCDPszPx","","","","http://en.wikipedia.org/w/index.php?diff=640651319&oldid=640647033"
"551003286426619904","","","2015-01-02 13:13:15 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Kristi Noem Wikipedia article edited by MaverickLittle http://t.co/cfBZXv0YTo","","","","http://en.wikipedia.org/w/index.php?diff=640649976&oldid=640588760"
"550998976611504130","","","2015-01-02 12:56:07 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Elizabeth Warren Wikipedia article edited by Collect http://t.co/27sbwRgmeo","","","","http://en.wikipedia.org/w/index.php?diff=640648418&oldid=640614236"
"550995524388921344","","","2015-01-02 12:42:24 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Collect http://t.co/lXndFjjd3H","","","","http://en.wikipedia.org/w/index.php?diff=640647033&oldid=640646722"
"550994606293536768","","","2015-01-02 12:38:45 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Steve Scalise Wikipedia article edited by Anonymous http://t.co/Ty9DGpKz3U","","","","http://en.wikipedia.org/w/index.php?diff=640646722&oldid=640604770"
"550894371307270144","","","2015-01-02 06:00:27 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Elizabeth Warren Wikipedia article edited by Lawrencekhoo http://t.co/1lJSdADQTq","","","","http://en.wikipedia.org/w/index.php?diff=640614236&oldid=640613986"
"550893652630052864","","","2015-01-02 05:57:36 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Elizabeth Warren Wikipedia article edited by Collect http://t.co/YUWq8uTJP6","","","","http://en.wikipedia.org/w/index.php?diff=640613986&oldid=640606994"
"550890530427924480","","","2015-01-02 05:45:12 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","John B. T. Campbell III Wikipedia article edited by Therequiembellishere http://t.co/gkBOJ3aJrK","","","","http://en.wikipedia.org/w/index.php?diff=640612981&oldid=640489955"
"550887643396194304","","","2015-01-02 05:33:43 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Lee Terry Wikipedia article edited by Therequiembellishere http://t.co/vGS56VOT8R","","","","http://en.wikipedia.org/w/index.php?diff=640612079&oldid=640156125"
"550887287194927105","","","2015-01-02 05:32:18 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Jon Runyan Wikipedia article edited by Varnent http://t.co/Gh4UCCrdMw","","","","http://en.wikipedia.org/w/index.php?diff=640611967&oldid=634601009"
"550886780539789314","","","2015-01-02 05:30:18 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Tom Latham Wikipedia article edited by Therequiembellishere http://t.co/nTvHwuQV1v","","","","http://en.wikipedia.org/w/index.php?diff=640611776&oldid=634961702"
"550884656049307648","","","2015-01-02 05:21:51 +0000","<a href=""https://tools.wmflabs.org/anon/"" rel=""nofollow"">anon-wikipedia</a>","Dan Kildee Wikipedia article edited by Varnent http://t.co/arEqyv7L11","","","","http://en.wikipedia.org/w/index.php?diff=640611085&oldid=620188941"
